Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Cote d'Ivoire,CIV,45.1092870811162,43.6322021203953,43.4237092196339,43.2267542289045,43.022946368227,42.8012595018546,42.5612724420064,42.3811493518329,42.1667382098065,41.9369721367589,41.7147031887333,41.5084739812772
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Croatia,HRV,19.7892376099527,17.3219288291187,15.423133111482,15.2322528712408,14.9440045568931,14.6913226892557,14.540971453438,14.4314905519695,14.4380264493861,14.5119400058464,14.5622210859055,14.5415633136651
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Cuba,CUB,23.2590546728046,21.5839222463989,17.4946565579788,17.2757309517617,17.0736089151528,16.8767595444341,16.6748655007103,16.5734606405023,16.4062997442336,16.2112389922363,16.0423499113203,15.920721599461
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Curacao,CUW,27.2414263312197,24.9235659149387,20.3735679348718,20.2258149944774,20.1474546219881,20.0117407935766,19.7726576038337,19.5862205995579,19.2793693710377,18.8839461266221,18.4942236146466,18.1774969072416
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Cyprus,CYP,25.4901091160491,22.3998982285405,17.615503812566,17.3960350505618,17.2024520354657,17.0396212742507,16.8955671261903,16.8727733259727,16.836628300265,16.787847956511,16.7070896689819,16.5771738149134
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Czech Republic,CZE,21.5551585334897,16.4227693951808,14.3784276313567,14.5264099576488,14.6963883265655,14.8935408835412,15.114187309465,15.2062034548539,15.3853751430547,15.5866055197434,15.7229501266184,15.7555513451747
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Denmark,DNK,17.0289907928533,18.4694658160703,17.8104767742234,17.5683664465417,17.2848516666386,17.0325850306028,16.843159986605,16.5972697518572,16.4916924766681,16.4582625623987,16.4009587177549,16.2817353400313
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Djibouti,DJI,45.0111619619308,40.9756906508506,32.0553279120601,31.6418952308219,31.2960704998228,30.948542052643,30.5578926753268,30.3325110428022,29.9820251901548,29.5741159613441,29.2049796622704,28.9122469635628
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Dominican Republic,DOM,38.4686522481129,34.9122645688907,30.1998499777494,29.8216901643313,29.4723390144654,29.1435087789369,28.8284307622879,28.5335824387239,28.2506194174432,27.9771295026574,27.7086938974899,27.4393408499886
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Ecuador,ECU,38.2636912719797,34.9669425964877,30.6299431299792,30.2197135717287,29.812584760605,29.4224553405751,29.058809451259,28.7069231700268,28.3616003254264,28.0285920021109,27.7069681682538,27.3919243233059
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Egypt, Arab Rep.",EGY,40.7574133364568,36.8575427193929,32.5574417717549,32.7069918793938,32.9392326281132,33.1587780660177,33.3134784786923,33.6454555875967,33.7755380296658,33.7987207092348,33.8348301595549,33.921026207374
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,El Salvador,SLV,39.99513100278,36.6410402558723,30.9814496838292,30.2626851918499,29.5407807445496,28.8979668086177,28.3717441745016,27.8516074921537,27.4456233330401,27.1320809139623,26.8584452626328,26.590587254026
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Equatorial Guinea,GNQ,42.9535196618224,40.649080060246,38.358397856621,38.1395881073438,37.9234550307363,37.7278515019019,37.5278118175408,37.4481969749338,37.2850439222759,37.1165988655245,36.9567974890596,36.7792242967672
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Eritrea,ERI,45.161917302038,45.7102463078255,40.1807794218494,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Estonia,EST,22.183286205491,17.5829383208778,15.3418407196155,15.5286704016675,15.7088142937936,15.9052387909232,16.1304620531048,16.1306788402671,16.2218904190573,16.3570737459559,16.4632692841539,16.4981700445145
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Eswatini,SWZ,48.7289949174388,43.0080512415024,40.0160256260768,39.7649190948107,39.4890522366156,39.2594101106921,39.0986228809721,38.6457055090813,38.3444241446295,38.1124915403848,37.831430238736,37.442896004358
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Ethiopia,ETH,46.3006045477283,46.4627709581443,44.4062464260428,43.8602883507967,43.3006976573179,42.7359377227609,42.1750432273536,41.7207824580225,41.2507982618484,40.7829819073234,40.3364411784466,39.9176363563044
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Fiji,FJI,38.4407602258113,35.0316767076939,29.0399317157122,29.1306242623421,29.3061062282234,29.55947985638,29.8476791534226,29.7452197904858,29.6512999467781,29.5126222009931,29.2936818011738,29.0112611482021
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Finland,FIN,19.30660807306,18.1359549448588,16.4872121495247,16.4583352570839,16.4416061682131,16.4257917962959,16.3946542332026,16.3338646451715,16.2511650912268,16.1451829725838,16.0163415492983,15.8651222223827
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,France,FRA,20.0811959740341,18.9070233826274,18.4878270738549,18.4868984707608,18.4682610640124,18.4252530043906,18.3524122929505,18.24553057454,18.1098266879217,17.9564644444787,17.8021578717479,17.6536558604914
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,French Polynesia,PYF,35.3908106350516,31.845641208878,25.0696680587827,24.6012981509156,24.1462223669024,23.8081743066929,23.6200407141079,23.124829281617,22.8871938631375,22.7618941295525,22.5638858951544,22.2232901875347
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Gabon,GAB,41.7503960028984,41.0155003419193,37.1131432031271,36.8284065333015,36.605999435355,36.4471812294299,36.3328585819275,36.5886189016935,36.8221392342104,37.0258696960045,37.1795455999529,37.2638868795642
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Gambia, The",GMB,43.8312126606202,47.0720640387098,45.0440359993009,44.9209008022517,44.7863535997132,44.6468502135825,44.5037538473339,44.4533989472979,44.3758020388556,44.2687450605107,44.1271181314867,43.950017131025
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Georgia,GEO,24.8602182574705,20.8216429052675,18.0949258481403,18.2558968688317,18.4494730532089,18.6879524279541,18.966359134264,19.2505447708227,19.5291210452424,19.7952406005383,20.0314254153046,20.2204119306111
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Germany,DEU,15.948443534484,15.6725549976228,13.5092964210582,13.4268014618471,13.3310716177189,13.2520993334125,13.2169387291157,13.3152990382434,13.4506883625113,13.6210301045356,13.7994884756758,13.9555954528852
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Ghana,GHA,44.202995719907,42.4523892911488,39.0839473836792,38.8704226923291,38.6486440269329,38.4222497162755,38.1917185786811,38.0227017501789,37.8200306887033,37.5960615850344,37.3648721329998,37.1311565625911
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Greece,GRC,19.6451063134022,15.080602022865,15.0504581229853,14.9602198286357,14.8171593501234,14.6756385299346,14.5598442740214,14.3552750140483,14.2048072510869,14.0712448654023,13.8965985913913,13.6559208078554
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Grenada,GRD,38.8950597419315,33.3949218636041,23.8164350724746,23.5578802375147,23.3188499583988,23.208940148023,23.2410879661311,23.2330561123153,23.3643595432653,23.5612898594936,23.7172218601287,23.7764723656497
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Guam,GUM,29.8677212182523,30.4862582003361,27.0545800666283,26.6500412510313,26.2744144582219,25.9042579619417,25.5342811069304,25.1995998797184,24.8330604269514,24.4637083152357,24.1341590254283,23.860168863872
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Guatemala,GTM,45.8509363261111,43.7298805749985,38.6793228433504,38.0594535796523,37.4720373720747,36.8680524486354,36.2316795846332,35.6598860187338,35.0508927890502,34.4353953933618,33.8593321423826,33.342431565664
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Guinea,GIN,44.9724610821023,46.4327432157103,45.9915155474723,45.7784998935884,45.5400196294494,45.2881638585732,45.0337506149358,44.6443386930227,44.2483662134694,43.8501733445473,43.4499891396658,43.0489549254367
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Guinea-Bissau,GNB,46.4594605956764,45.4146795848834,43.0857798743305,43.003179480853,42.9073171323612,42.7998797001011,42.6774779213931,42.5983961293464,42.4860719472471,42.3391522075139,42.1536637094062,41.9272144678788
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Guyana,GUY,36.1501071559742,35.6555044427928,31.5254219257794,30.8950634035788,30.3297180900452,29.8122822185543,29.3323708159159,28.9614036361374,28.5752984306431,28.214545202476,27.9299305284082,27.7319236363267
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Haiti,HTI,43.2267246118418,40.2466100947966,35.8979616487398,35.5242207292412,35.1457092929065,34.7625639526898,34.3746394525869,34.0025664277669,33.6244485022626,33.242244257891,32.8585874002282,32.4738952625242
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Honduras,HND,45.8749747492737,42.8229393252028,36.8679200030281,36.0898682755812,35.2752809250555,34.4755660403799,33.7222355610432,33.0004384737231,32.3450927472473,31.7408815333097,31.159424825292,30.5881798237931
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Hong Kong SAR, China",HKG,20.7215580894905,16.8626833034453,11.6456364650993,11.3505924918488,11.1199842906634,11.0484016780033,11.1675542263035,11.1976433628741,11.475226523003,11.9008970757204,12.3267081343393,12.6724344105981
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Hungary,HUN,20.4141373482879,16.8286954844804,14.7185034277584,14.6051572743001,14.5246815538417,14.4735064009748,14.4486206324186,14.3710201246286,14.3722655591988,14.4119922134424,14.4332197277783,14.4086586501878
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Iceland,ISL,24.9444211368279,23.2039510046891,20.7438619487192,20.6475010133517,20.5341288009609,20.4218579767129,20.3129210914387,20.1444284570417,19.9896528934517,19.8323201064408,19.6471709076751,19.4242812306773
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,India,IND,37.9656724079455,34.7258428748667,30.3964428456462,29.9287920551663,29.4275280023289,28.9254244902534,28.4412002868341,27.9324323846537,27.4786995727277,27.0533018530221,26.6182646511486,26.1606114389267
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Indonesia,IDN,36.4511625221603,30.692420513812,28.5241929160663,28.2747567352341,28.037864984315,27.7678502149642,27.4509726744832,27.2326833425639,26.9149014961264,26.5511973052634,26.2151194819848,25.9360062932775
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Iran, Islamic Rep.",IRN,45.5522959789904,33.9632986127434,23.8115552206991,23.6952024201045,23.6819437723361,23.7503325662418,23.8804548960684,24.0328498361237,24.2478436298895,24.4765586602319,24.6546580497607,24.7446961291953
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Iraq,IRQ,45.7911892528627,42.9316374427415,41.2630633386818,40.767750127148,40.3051296783037,39.8294650599729,39.3106302689053,39.1012506967921,38.7744678616478,38.3865654011074,38.0209272587437,37.7137463856355
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Ireland,IRL,27.6073411689645,21.4640468419707,21.0808291250146,21.3256895645543,21.5284972858387,21.7098307183039,21.8727007958215,21.7553253677398,21.6032763908872,21.4064195870662,21.1503749619815,20.8322717914466
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Israel,ISR,31.2548711849082,28.0786585827328,27.4154211911154,27.5507580349817,27.6698771183532,27.7748897311545,27.861086496317,27.9283658805633,27.9446442971777,27.9252464589938,27.8855719144722,27.8284704527219
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Italy,ITA,16.4745725003662,14.3243235424824,14.0650360143191,14.017652226754,13.9414158931092,13.8401681718905,13.7153723233859,13.6046648487564,13.4750705252017,13.3291160906398,13.1666575144622,12.9872905260916
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Jamaica,JAM,34.8359399084097,32.1492702944701,26.4668716022236,25.9377819186442,25.4421921480723,24.9954176128528,24.5989565624048,24.3039106252899,24.0142246361331,23.7500966830639,23.5312193995209,23.3581557541334
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Japan,JPN,18.475086671051,14.7838769769252,13.3060246827669,13.2424849017787,13.1659120021756,13.0814785354786,12.9893829152797,12.9143600079412,12.8143904375377,12.6968488090205,12.5730310225261,12.4485567318333
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Jordan,JOR,45.7698078179641,39.613797422466,37.320689989072,37.1040679795529,36.828621444602,36.4659347618319,35.9767335827962,35.46191730078,34.8862228834041,34.2454902091433,33.562242134834,32.8538466710326
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Kazakhstan,KAZ,31.4297638893628,27.524219949461,24.4091477180733,24.855283324951,25.4105442832326,26.0440459433444,26.6982058290864,27.3075039786268,27.9148600452245,28.4605497778393,28.8812499437375,29.144173150276
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Kenya,KEN,49.1108567195228,45.2481102741389,43.1987369388596,42.843300908339,42.405707506776,41.932273955566,41.4432448111814,40.9019501816192,40.3500123513719,39.7821669340692,39.1933742576388,38.589603642806
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Kiribati,KIR,40.3038674033149,39.9793829091426,36.2033076159193,35.894519131334,35.397163777922,35.0485871781042,35.0058595510682,34.9116632896093,35.1460256837015,35.5399794556613,35.8383075693417,35.9165836465772
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Korea, Dem. People's Rep.",PRK,27.1262768038758,25.9383075854565,22.1854592770877,21.8269081308168,21.5283846280573,21.233065645454,20.9187179727566,20.701471273624,20.4528226206826,20.2021135043815,19.9932822053131,19.843293035646
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Korea, Rep.",KOR,25.4376122289127,20.614642180528,15.6158461631876,15.1181869652123,14.6322973213392,14.1835840000259,13.7817192668695,13.4979312995586,13.2254992840496,12.9733235784635,12.7464436133795,12.5428090967313
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Kuwait,KWT,34.9026699195932,28.3775596871191,22.9466613637368,22.5384034473893,22.0555040075137,21.5990447964354,21.2043724161413,21.2971347338493,21.4224554183712,21.5388880509858,21.569838294134,21.4622119618196
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Kyrgyz Republic,KGZ,37.435445935578,34.9406752518741,30.0552454347851,30.3493895661999,30.7310571435501,31.1306705139094,31.4999141651932,31.9187630569956,32.1806772602308,32.3504171141318,32.5016950209247,32.6488402017414
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Lao PDR,LAO,44.265149565384,43.3588857373631,35.7964082931303,35.1649072934721,34.566685786198,34.0442178899345,33.6121921970746,33.2057133625267,32.8829352937243,32.6039186819471,32.3029993214268,31.94723155331
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Latvia,LVA,21.4568244947623,17.8565316815454,14.185975420446,14.3450799800485,14.5550737741674,14.8047787003783,15.0943046763386,15.2285963492255,15.5762629946128,15.9957769389964,16.3077562104594,16.4321030984022
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Lebanon,LBN,37.2558547065262,31.093989816742,25.9043303512901,26.1895199591448,26.6433982488142,27.0898591353135,27.3377778607793,26.9933891655711,26.5880455578541,26.0958671652131,25.5722198405913,25.0687977120906
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Lesotho,LSO,45.2985096965688,40.0134002097595,34.6494239909611,34.4124101610228,34.139992999857,33.8001267467439,33.4026219256627,33.2251099984097,32.9813906921905,32.7163515354347,32.4669171135123,32.2380358212327
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Liberia,LBR,44.9130791671323,42.6928132293425,42.9671310831293,42.8396780295474,42.6453522722084,42.3920967192154,42.0914398409742,41.8032055990392,41.4787166758893,41.1249865894663,40.7529184542228,40.372218018495
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Libya,LBY,41.7480397983979,33.8534509194009,28.762361665316,28.7785001880444,28.8001949256055,28.831599061747,28.8679193838258,28.7247299127779,28.5393977927049,28.3192377277793,28.0682769866906,27.7847746828399
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Lithuania,LTU,22.5650190000906,20.0395278023918,14.6439502069629,14.5731443238208,14.5428580354371,14.545900601616,14.5946969180185,14.6418983948058,14.7274878102097,14.8824245055089,15.1354512765674,15.4779305209697
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Luxembourg,LUX,17.3555688845468,18.9439192117458,17.4012674583628,17.1533953588254,16.8989604836331,16.6370312128054,16.3778516112298,16.2394003425036,16.0651112500211,15.8788239869589,15.7072348387034,15.5575755058485
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Macao SAR, China",MAC,25.5095867460908,22.8450472436896,12.7581549365324,12.5833497329085,12.4865771114637,12.4991528410323,12.6154944899806,12.9292339222892,13.2804356031707,13.654066582652,14.0194708366839,14.3543779405084
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Madagascar,MDG,45.5625762104896,45.1521443214307,43.2051980211339,42.8326534027815,42.4275894327205,42.0245996928854,41.6433785335763,41.2946300709759,40.9723121695803,40.6681505928286,40.3668399784985,40.0625394125994
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Malawi,MWI,44.793205380403,46.080460262928,46.2478466446756,46.0297940733365,45.7363419032903,45.4160556410637,45.0880166217357,44.6835418538551,44.2968770691621,43.9022859066284,43.4686884737873,42.9920576904741
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Malaysia,MYS,37.0484204393787,33.3562053744597,27.2986743654898,26.6972393773826,26.1341210196246,25.5970623776665,25.0895957650768,24.7162767421135,24.3437909565021,23.9951410860297,23.6949791543146,23.4481191203151
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Maldives,MDV,47.5147653232239,40.4652144968826,24.2836305339098,23.3153004377739,22.4628422519147,21.7679850120111,21.2175900992493,20.7458486852067,20.3949621476142,20.1479166020291,19.9096718541942,19.5996995619228
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Mali,MLI,46.7262325659448,46.5676025412817,47.7194176578305,47.8678739304419,47.9474711447287,47.9723121486477,47.9480614983458,47.8545171416035,47.7228165076114,47.5434863934943,47.3046969963574,47.0073008848574
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Malta,MLT,23.4269298233499,19.8544373737759,14.7897843979373,14.5859856001176,14.4122623201635,14.2943814113069,14.2278213576468,14.2078482539435,14.2298022756906,14.2769005208902,14.32879474626,14.3739114876694
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Mauritania,MRT,44.865770129565,43.5418495570141,41.1163303551778,40.9812885550059,40.8395140896096,40.6832945974658,40.5074165268476,40.409455143024,40.26255262611,40.0831828216618,39.8889143238963,39.6850908174322
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Mauritius,MUS,28.985630779605,25.7562576731117,21.3075902420309,20.7826480987453,20.3380933719489,19.8919954984869,19.400280756136,18.9017050159882,18.3573889738149,17.793692318012,17.2597088372708,16.7847437582955
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Mexico,MEX,39.2066143064569,34.1964499539913,29.0769674281033,28.6998102864182,28.3549482428516,28.0063953735316,27.6359686677943,27.3048902837136,26.9392249508412,26.5568481908521,26.1851181506761,25.8352654581106
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,"Micronesia, Fed. Sts.",FSM,44.1418053810448,40.3530660509115,35.1068148864186,34.4602223795763,33.8179483790571,33.2585670941682,32.7985674273383,32.3304450392415,31.9785750814201,31.7072088068182,31.4554320608004,31.1928918564113
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Moldova,MDA,27.9160493352062,23.4558938652634,16.2614692618389,16.0623611318296,15.9201991071006,15.8331588274877,15.7919276782863,15.7854298896043,15.8160585897819,15.8600908600909,15.8896910737689,15.8883212364615
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Mongolia,MNG,40.4654452886599,34.7713665284902,27.2463408198426,27.5460951931853,27.9257933694706,28.3748760249623,28.8618844672178,29.433372464798,29.9497781800034,30.4095683070176,30.798281143271,31.0929478478109
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Montenegro,MNE,25.4395920663673,21.4453703718795,19.12229916676,18.9669688860486,18.7936360951233,18.6311228845678,18.4984273218535,18.3332695643302,18.2502792548318,18.2095191371898,18.1502164853731,18.0449188461085
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Morocco,MAR,39.64271717921,33.4872768429488,28.2245057959353,28.0555503746777,27.9648595789327,27.8738842133638,27.736741619156,27.643098474154,27.4525982852488,27.2063801328554,26.9695171627129,26.7679926828528
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Mozambique,MOZ,46.621374186397,44.5039605233242,45.7438666444734,45.7304736129644,45.6809824279447,45.5785967620794,45.4201541734965,45.2138556686688,44.9594607396316,44.6708001531326,44.3680004858059,44.0627877999458
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Myanmar,MMR,37.6462515639516,32.5130484032849,29.6170136556692,29.1958443608731,28.7656529675694,28.3069486433496,27.8173899881334,27.3298314017134,26.8466928773674,26.3710482845116,25.9144012573128,25.4855945068719
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Namibia,NAM,44.3612102686501,42.021909414562,37.332579712134,37.1849973323103,37.0255221830412,36.9252884307056,36.9052021163729,36.8719158760396,36.8825367836037,36.9102491891316,36.9059101313674,36.8412435726641
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Nepal,NPL,42.4261952012004,40.9649844973771,35.8165718854401,35.2492146570088,34.6104493206156,33.9628836387215,33.3534135126478,32.3226535704436,31.336510561534,30.4142653217498,29.5703755954043,28.8097138162835
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Netherlands,NLD,18.2052151061565,18.4678467942235,17.3342486850283,17.1960785714966,17.0814834112289,16.9421228551827,16.7556109900883,16.5764095141154,16.3531299843661,16.1081587098378,15.883496235918,15.7016579989626
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,New Caledonia,NCL,32.0959750140898,30.2643267102072,25.6358586133653,25.2235731029376,24.6978148818129,24.1914700510572,23.7629350893697,23.381876137437,23.0460039689699,22.7409256659988,22.4339522546419,22.1080357830878
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,New Zealand,NZL,23.2312843493502,22.715242994362,20.4978276307982,20.4047392645828,20.2565001997338,20.1037892058438,19.9708442806334,19.8098627143981,19.7161696406279,19.6534314569849,19.5666040777636,19.4306869867134
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Nicaragua,NIC,45.8372409866791,39.6566627910509,32.8382888881473,32.3982210858758,31.9964826142272,31.6255587294967,31.2764090730873,30.9043311409597,30.5483953724178,30.2016811999565,29.8548529967602,29.5006577046545
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Niger,NER,48.3941065391273,48.2749810992435,50.1766135745005,50.2477914000453,50.2639470293388,50.2347717243171,50.1652837566556,50.157344354397,50.0928832755573,49.9843246094453,49.8421691483938,49.6719578310814
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Nigeria,NGA,44.9739241034129,43.6043181499438,44.1239108286531,44.1873383360045,44.2167637127518,44.1991276729255,44.1305041462216,44.1060436139142,44.0131179412448,43.8666399781742,43.687530197944,43.4876107179975
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,North Macedonia,MKD,26.1908960299124,22.6795601967546,17.5218469404151,17.2697198736139,17.1141875478971,16.9842740431471,16.8395270010311,16.7781893294847,16.6612231723788,16.5169996308133,16.3936031378587,16.3101776253328
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Norway,NOR,18.9252899205022,19.9834999012083,18.6783824037605,18.4905625755304,18.2862137768717,18.1070598267495,17.9623165038282,17.8018106822214,17.6700981019673,17.5490383783174,17.4129745408736,17.2571003576487
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Oman,OMN,45.2487389365514,37.1041454197206,24.4248114796556,23.3791943977594,22.617871943468,22.1323927434534,21.8337477983984,21.8901554043238,22.0405029824721,22.2465059852286,22.4183947452314,22.4868827284395
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Pakistan,PAK,43.0035012009196,41.9639205640875,37.318895530229,36.9477207055961,36.5881428942635,36.2494074844869,35.9366650138644,35.6982306157932,35.478621035315,35.2698145995487,35.0543779129029,34.8195636842817
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Panama,PAN,35.8791184108765,31.9842604496939,28.8995255070642,28.6467286864303,28.3795188811699,28.1096317804719,27.8416434273314,27.6017456189848,27.3394729530685,27.0623043241241,26.7791201051045,26.4947794400022
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Papua New Guinea,PNG,42.0647037299178,39.7614502805089,38.084638805792,37.8041884675418,37.4777938415948,37.1360295366773,36.7967784009793,36.4636337457485,36.1384213103618,35.8159344007888,35.4859653634657,35.1460105617242
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Paraguay,PRY,41.4240845382232,38.4743503016324,32.462658526019,31.9252487692542,31.3678252657798,30.8604587662811,30.4348827119463,30.0252498129206,29.7043524151016,29.4405055961229,29.1793358805196,28.8935018642733
Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,Peru,PER,39.0118484830595,34.4394304084695,29.696010684411,29.2364590818899,28.7750243190474,28.3839850498294,28.0816996400546,27.1000301622918,26.3624966281645,25.7906028460802,25.2544958386154,24.6921389376527
